time	cell.id	cell.type	neighbor.id	neighbor.type	length
0	1	0	4	0	0.0555556
0	1	0	7	0	0.0555556
0	1	0	13	0	0.0555556
0	1	0	20	0	0.0555556
0	1	0	22	0	0.0555556
0	1	0	27	0	0.0555556
0	1	0	32	0	0.0555556
0	1	0	34	0	0.0555556
0	1	0	42	0	0.0555556
0	1	0	45	0	0.0555556
0	1	0	48	0	0.0555556
0	1	0	49	0	0.0555556
0	2	0	3	0	0.0555556
0	2	0	5	0	0.0555556
0	2	0	11	0	0.0555556
0	2	0	14	0	0.0555556
0	2	0	16	0	0.0555556
0	2	0	18	0	0.0555556
0	2	0	21	0	0.0555556
0	2	0	25	0	0.0555556
0	2	0	30	0	0.0555556
0	2	0	39	0	0.0555556
0	2	0	43	0	0.0555556
0	2	0	47	0	0.0555556
0	3	0	2	0	0.0555556
0	3	0	5	0	0.0555556
0	3	0	11	0	0.0555556
0	3	0	14	0	0.0555556
0	3	0	16	0	0.0555556
0	3	0	17	0	0.0555556
0	3	0	21	0	0.0555556
0	3	0	25	0	0.0555556
0	3	0	30	0	0.0555556
0	3	0	31	0	0.0555556
0	3	0	41	0	0.0555556
0	3	0	47	0	0.0555556
0	4	0	1	0	0.0555556
0	4	0	6	0	0.0555556
0	4	0	8	0	0.0555556
0	4	0	12	0	0.0555556
0	4	0	18	0	0.0555556
0	4	0	20	0	0.0555556
0	4	0	22	0	0.0555556
0	4	0	27	0	0.0555556
0	4	0	29	0	0.0555556
0	4	0	34	0	0.0555556
0	4	0	42	0	0.0555556
0	4	0	45	0	0.0555556
0	4	0	46	0	0.0555556
0	4	0	48	0	0.0555556
0	4	0	49	0	0.0555556
0	5	0	2	0	0.0555556
0	5	0	3	0	0.0555556
0	5	0	11	0	0.0555556
0	5	0	17	0	0.0555556
0	5	0	19	0	0.0555556
0	5	0	20	0	0.0555556
0	5	0	21	0	0.0555556
0	5	0	22	0	0.0555556
0	5	0	32	0	0.0555556
0	5	0	41	0	0.0555556
0	5	0	47	0	0.0555556
0	6	0	4	0	0.0555556
0	6	0	8	0	0.0555556
0	6	0	12	0	0.0555556
0	6	0	16	0	0.0555556
0	6	0	18	0	0.0555556
0	6	0	24	0	0.0555556
0	6	0	26	0	0.0555556
